Experiment_ID,Input_Competence_total,Input_Stickiness,Input_Complexity,Input_Team,Output_Time
31,0.5755454545454546,0,0,0,613.53
29,0.39354545454545453,0,0,0,408.88
34,0.2724545454545455,0,0,0,1107.1100000000001
36,0.514909090909091,0,0,0,555.71
42,0.2421818181818182,0,0,0,910.7900000000001
44,0.8180000000000001,0,0,0,410.93
46,0.2119090909090909,0,0,0,247.54000000000002
48,0.2421818181818182,0,0,0,990.22
50,0.39363636363636373,0,0,0,955.3699999999999
52,0.8181818181818182,0,0,0,247.09
54,0.4846363636363637,0,0,0,349.83
62,0.7575454545454545,0,0,0,470.40000000000003
65,0.8181818181818182,0,0,0,220.48999999999998
68,0.606,0,0,0,346.35
73,0.2119090909090909,0,0,0,522.5
74,0.8787272727272728,0,0,0,703.48
75,0.7878181818181819,0,0,0,267.91
78,0.2119090909090909,0,0,0,728.85
79,0.4843636363636365,0,0,0,494.84999999999997
80,0.4846363636363637,0,0,0,258.86
82,0.8181818181818182,0,0,0,130.8
84,0.030272727272727274,0,0,0,179.47
89,0.2724545454545455,0,0,0,482.23
86,0.7878181818181819,0,0,0,148.45
242,0.5146363636363638,1,0,0,512.67
243,0.8484545454545455,1,0,0,442.21999999999997
244,0.5755454545454545,1,0,0,495.05
245,0.6664545454545455,1,0,0,237.13
246,0.6362727272727272,1,0,0,489.9
253,0.5146363636363638,1,0,0,149.48
255,0.8484545454545455,1,0,0,249.75
256,0.6664545454545455,1,0,0,259.27
262,0.1210909090909091,1,0,0,345.03999999999996
264,0.5146363636363638,1,0,0,158.64000000000001
265,0.18163636363636362,1,0,0,297.08
266,0.6362727272727272,1,0,0,116.69
267,0.5146363636363638,1,0,0,578.26
272,0.9090909090909091,1,0,0,139.15
273,0.5150000000000001,1,0,0,324.06
274,1.0,1,0,0,306.25
275,0.9090909090909091,1,0,0,78.76
276,0.7574545454545455,1,0,0,309.95
277,1.0,1,0,0,128.89
278,0.9090909090909091,1,0,0,67.65
281,0.7574545454545455,1,0,0,276.29
283,0.4240909090909091,1,0,0,500.98
287,0.42390909090909096,1,0,0,956.5500000000001
289,0.7574545454545455,1,0,0,505.14
290,0.7574545454545454,1,0,0,255.04999999999998
291,0.8483636363636364,1,0,0,378.73
292,0.5150000000000001,1,0,0,109.38000000000001
295,0.5451818181818182,1,0,0,158.85
297,0.9090909090909091,1,0,0,399.34
298,0.7574545454545455,1,0,0,149.16
300,0.33299999999999996,1,0,0,370.5
305,0.544909090909091,1,0,0,112.28999999999999
306,0.18163636363636362,1,0,0,92.27
308,0.3330000000000001,1,0,0,111.1
384,0.18163636363636362,1,0,0,317.25
385,0.18163636363636362,1,0,0,149.93
386,0.18163636363636362,1,0,0,114.58
90,0.2119090909090909,0,1,0,467.29
97,0.33300000000000013,0,1,0,616.05
101,0.5148181818181818,0,1,0,952.9
105,0.514909090909091,0,1,0,909.9100000000001
111,0.3935454545454546,0,1,0,291.57
120,0.2119090909090909,0,1,0,699.39
125,0.42381818181818187,0,1,0,856.77
143,0.6967272727272728,0,1,0,180.99
139,0.3936363636363636,0,1,0,988.4300000000001
285,0.9090909090909091,1,1,0,188.2
293,1.0,1,1,0,256.08000000000004
304,0.9090909090909091,1,1,0,213.89
309,0.2724545454545455,1,1,0,455.9
311,0.42381818181818187,1,1,0,656.29
312,0.2724545454545455,1,1,0,436.67
313,0.6054545454545456,1,1,0,571.1400000000001
314,0.544909090909091,1,1,0,426.49999999999994
315,0.2725454545454546,1,1,0,664.26
316,0.5147272727272728,1,1,0,774.9
317,0.2724545454545455,1,1,0,573.79
318,0.2724545454545455,1,1,0,611.62
320,0.3330000000000001,1,1,0,665.3199999999999
322,0.4845454545454546,1,1,0,512.74
325,0.5753636363636364,1,1,0,1092.69
328,0.6054545454545456,1,1,0,237.09
330,0.3330000000000001,1,1,0,165.42000000000002
332,0.2724545454545455,1,1,0,288.08
333,0.2724545454545455,1,1,0,154.15999999999997
334,0.2724545454545455,1,1,0,653.7400000000001
335,0.6054545454545456,1,1,0,169.71
338,0.3632727272727273,1,1,0,770.75
339,0.7573636363636363,1,1,0,513.82
340,0.8787272727272728,1,1,0,699.82
342,0.8787272727272728,1,1,0,637.85
344,0.18163636363636362,1,1,0,907.47
348,0.18163636363636362,1,1,0,413.31
349,0.6967272727272728,1,1,0,722.4
351,0.15136363636363637,1,1,0,1449.79
352,0.7573636363636363,1,1,0,224.16
354,0.2421818181818182,1,1,0,632.46
355,0.7573636363636363,1,1,0,163.54999999999998
356,0.7573636363636363,1,1,0,185.16
357,0.4544545454545455,1,1,0,691.9
359,0.3632727272727273,1,1,0,283.77000000000004
360,0.8787272727272728,1,1,0,264.55
361,0.7573636363636363,1,1,0,157.95
362,0.7573636363636363,1,1,0,148.11
363,0.2421818181818182,1,1,0,181.81
365,0.8787272727272728,1,1,0,174.64
366,0.7573636363636363,1,1,0,127.05
368,0.7573636363636363,1,1,0,128.36
370,0.7573636363636363,1,1,0,108.36999999999999
372,0.4544545454545455,1,1,0,161.61
387,0.18163636363636362,1,1,0,351.94
392,0.18163636363636362,1,1,0,268.22999999999996
397,0.18163636363636362,1,1,0,174.96
402,0.18163636363636362,1,1,0,191.54999999999998
404,0.18163636363636362,1,1,0,174.97999999999996
405,0.18163636363636362,1,1,0,162.85999999999999
406,0.18163636363636362,1,1,0,144.18
174,0.09081818181818183,0,0,1,1333.6899999999998
151,0.7878181818181819,0,0,1,292.49
148,0.6665454545454546,0,0,1,555.62
158,0.3634545454545454,0,0,1,688.75
164,0.2724545454545455,0,0,1,558.9
227,0.3634545454545454,0,0,1,488.33000000000004
233,0.1210909090909091,0,0,1,1042.8500000000001
234,0.5454545454545454,0,0,1,772.4000000000001
237,0.4543636363636363,0,0,1,408.42
240,0.36327272727272725,0,0,1,459.14000000000004
374,0.8181818181818182,1,0,1,155.73
376,0.8484545454545455,1,0,1,397.61
378,1.0,1,0,1,180.74
381,0.5452727272727274,1,0,1,307.17
383,1.0,1,0,1,119.82000000000001
388,0.908909090909091,1,0,1,480.20000000000005
390,0.2421818181818182,1,0,1,545.25
394,0.18163636363636362,1,0,1,593.5799999999999
396,0.18163636363636362,1,0,1,798.25
399,0.36354545454545456,1,0,1,443.87
401,0.42381818181818187,1,0,1,404.8
181,0.39390909090909093,0,1,1,967.78
192,0.06054545454545455,0,1,1,528.8699999999999
186,0.3938181818181818,0,1,1,922.92
187,0.6363636363636364,0,1,1,841.3
204,0.3936363636363636,0,1,1,1592.43
210,0.4847272727272728,0,1,1,1646.1399999999999
214,0.30272727272727273,0,1,1,943.4199999999998
215,0.33309090909090916,0,1,1,1146.03
221,0.6059090909090908,0,1,1,640.2199999999999
407,0.18163636363636362,1,1,1,1001.18
409,0.8787272727272728,1,1,1,463.08000000000004
412,0.7878181818181819,1,1,1,818.9599999999999
414,0.4844545454545455,1,1,1,745.26
415,0.15136363636363637,1,1,1,984.59
417,0.2119090909090909,1,1,1,382.38
419,0.8787272727272728,1,1,1,209.04
421,0.18163636363636362,1,1,1,331.45
432,0.8179090909090909,1,1,1,495.89
434,0.48463636363636375,1,1,1,561.6899999999999
436,0.5451818181818182,1,1,1,925.7099999999999
438,0.4543636363636363,1,1,1,1137.91
441,0.42381818181818187,1,1,1,913.8300000000002
443,0.4843636363636364,1,1,1,819.32
445,0.5453636363636364,1,1,1,815.5600000000001
451,0.8179090909090909,1,1,1,149.91
450,0.5755454545454547,1,1,1,482.38000000000005
455,0.5451818181818182,1,1,1,409.31
491,1.0,1,1,1,293.91999999999996
461,0.4543636363636363,1,1,1,435.04999999999995
463,0.8179090909090909,1,1,1,196.99
465,0.8181818181818182,1,1,1,145.11999999999998
472,0.5149090909090909,1,1,1,535.03
478,0.2421818181818182,1,1,1,425.47
476,0.2724545454545455,1,1,1,1081.83
481,0.45409090909090916,1,1,1,943.2200000000001
482,0.7272727272727273,1,1,1,602.19
